id;autor;titulo;jornal;volume;paginas;ano;evento;endereco;note;venue;editor;tipo;instituicao;mes
286; Fahlman, S. E., & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; pp 524-532 ;1990; Morgan Kaufmann, ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems ; In Touretzky, D. S. (Ed.), ;NULL;NULL;NULL
287; Fahlman, S. E., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; Advances in Neural Information Processing Systems ; In Touretzky, D. S., editor, ;NULL;NULL;NULL
288; Fahlman, S. E., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; Advances in Neural Information Processing Systems; In Touretzky, D. S., editor, ;NULL;NULL;NULL
289; Fahlman, S. E., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; Advances in Neural Information Processing Systems ; In Touretzky, D. S., editor, ;NULL;NULL;NULL
290; Fahlman, S. E., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; Advances in Neural Information Processing Systems ; In Touretzky, D. S., editor, ;NULL;NULL;NULL
291; Fahlman, S. E., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; Advances in Neural Information Processing Systems; In Touretzky, D. S., editor, ;NULL;NULL;NULL
292; Fahlman, S. E., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; Advances in Neural Information Processing Systems; In Touretzky, D. S., editor, ;NULL;NULL;NULL
293; Fahlman, S. E., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ;1990;Morgan Kaufmann.; San Mateo, CA: ;NULL; Advances in Neural Information Processing Systems; In Touretzky, D. S., editor, ;NULL;NULL;NULL
294; Fahlman, S. and Lebiere C. ; The Cascade Correlation Learning Architecture. ;NULL;NULL;NULL;1991;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
295; Fahlman, S. and Lebiere C. ; The Cascade Correlation Learning Architecture. ;NULL;NULL;NULL;1991;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
296; Fahlman, S. and Lebiere C. ; The Cascade Correlation Learning Architecture. ;NULL;NULL;NULL;1991;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
297; Fahlman, S. and Lebiere C ; The Cascade-Correlation learning architecture. ;NULL;NULL; 524-532 ; 1990. ; Morgan Kauffmann, ;NULL;NULL; Advances in Neural Information Processing Systems: Proceedings of the 1989 Conference ; In Touretzky, D. S., editor, ;NULL;NULL;NULL
298; Fahlman, S. and Lebiere, C. ; The cascade-correlation architecture. ;NULL;2; pages 524-532 ;1990; Mor-gan Kaufmann. ;NULL;NULL; Advances in Neural Information Processing Structures ; In Touretzky, D. S., editor, ;NULL;NULL;NULL
299; Fahlman, S. and Lebiere, C. ; The cascade-correlation architecture. ;NULL;2; pages 524-532 ;1990; Mor-gan Kaufmann. ;NULL;NULL; Advances in Neural Information Processing Structures; In Touretzky, D. S., editor, ;NULL;NULL;NULL
300; Fahlman, S., & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;Vol 2 ; pp ;1989; Morgan Kaufmann. ; 524-532 San Mateo, CA. ;NULL; In Advances in Neural Information Processing Systems;NULL;NULL;NULL;NULL
301; Fahlman, S., & Lebiere, C. ; The cascade-correlation learning architecture. In Touret-zky, ;NULL; Vol 2 ; pp 524-532 ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems; D. (Ed.), ;NULL;NULL;NULL
302; Fahlman, S., & Lebiere, C. ; The cascade-correlation learning architecture.;NULL; Vol 2 ; pp 524-532 ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems; In Touret-zky, D. (Ed.), ;NULL;NULL;NULL
303; Fahlman, S., & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL; Vol 2 ; pp 524-532 ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems ; In Touret-zky, D. (Ed.), ;NULL;NULL;NULL
304; Fahlman, S., & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL; Vol 2 ; pp 524-532 ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems ; In Touret-zky,  D. (Ed.), ;NULL;NULL;NULL
305; Fahlman, S., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ;1989;NULL; Denver, CO. ;NULL; In Advances in Neural Information Processing Systems ;NULL;NULL;NULL;NULL
306; Fahlman, S., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ;1989;NULL; Denver, CO.;NULL; In Advances in Neural Information Processing Systems;NULL;NULL;NULL;NULL
307; Fahlman, S., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ;1989; CO. ; Denver, ;NULL; In Advances in Neural Information Processing Systems ;NULL;NULL;NULL;NULL
308; Fahlman, S.E. & Lebiere, C. ; The cascade-correlation architecture.  ;NULL;NULL;NULL;1990; Morgan Kaufmann. ;NULL;NULL; In:Advances in Neural Information Processing Systems ; ed. D.S. Touretzky. ;NULL;NULL;NULL
309; Fahlman, S.E. and Lebiere, C. ; The Cascade-Correlation Learning Architecture. ;NULL;II ; pp 524-532 ;1990; Morgan Kaufmann. ;NULL;NULL; Advances in Neural Information Processing Systems ;NULL;NULL;NULL;NULL
310; Fahlman, S.E. and Lebiere, C., ;" ""The Cascade Correlation Learning Architecture,"" ";NULL; Vol 2 ; pp 524-532 ; 1990. ; Morgan Kaufmann, ;NULL;NULL; NIPS;NULL;NULL;NULL;NULL
311; Fahlmann, S. E. and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL;1989;NULL; Denver, Colorado. ;NULL; In Advances in Neural Information Processing Systems 2 (NIPS-2) ;NULL;NULL;NULL;NULL
312; S. E. Fahlman & C. Lebiere. ;The cascade-correlation learning architecture. ;NULL;volume2 ; 524-532 ;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; Advances in Neural Information Processing Systems ; In D. S. Touretzky (ed.), ;NULL;NULL;NULL
313; S. E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL; volume2 ; pages 524-532 ;1990; Morgan Kaufmann. ;NULL;NULL; Advances in Neural Information Processing Systems; In D. S. Touretzky, (ed.), ;NULL;NULL;NULL
314; Fahlman S. and Lebiere C. ; The Cascade Correlation Learning Architecture. ;NULL;volume2 ;NULL;1990; Morgan Kaufmann. ;NULL;NULL; Advances in Neural Information Processing Systems ; In D. Touretzky (Ed), ;NULL;NULL;NULL
315; S. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;volume2; pages 524-532 ;1989.; Morgan Kaufmann. ; Denver, CO, ;NULL; In Adv. in Neural Info. Processing Systems  ;NULL;NULL;NULL;NULL
316; S.E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;volume2 ; pages 524-532 ; November ;NULL; Den-ver, CO, ;NULL; In Advances in Neural Information Processing Systems  ;NULL;NULL;NULL;NULL
317; S. Fahlman and C. Lebiere. ; The Cascade-Correlation learning architecture. ;NULL;volume2;NULL; 1990. ; Morgan Kaufmann, ;NULL;NULL; Advances in Neural Information Processing Systems ; In D. Touretzky, editor, ;NULL;NULL;NULL
318; S. Fahlman and C. Lebiere. ; The Cascade-Correlation learning architecture. ;NULL;volume2;NULL; 1990. ; Morgan Kaufmann, ;NULL;NULL; Advances in Neural Information Processing Systems ; In D. Touretzky, editor, ;NULL;NULL;NULL
319; S. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL; volume 2 ; pages 524-532 ; 1990. ; Morgan Kaufmann, ;NULL;NULL; Advances in Neural Information Processing Systems ; In D. Touretzky, editor, ;NULL;NULL;NULL
320; S.E. Fahlman and C. Lebiere. ; The cascade-correlation learn-ing architecture. In D.S. ;NULL; volume 2 ; pages 524-532 ;NULL; Morgan Kaufmann. ; San Mateo, 1990. ;NULL; Advances in Neural Information Processing Systems ; Touretzky, editor, ;NULL;NULL;NULL
321; S.E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. In D.S. ;NULL; volume 2 ; pages 524-532 ;NULL; Morgan Kaufmann. ; San Mateo, 1990. ;NULL; Advances in Neural Information Processing Systems ; Touretzky, editor, ;NULL;NULL;NULL
322; S. E. Fahlman and C. Lebiere, ; The Cascade-Correlation Learning Architecture,  ;NULL; volume 2; 524-532 ;1989;NULL; Denver, CO ;NULL;In Advances in Neural Information Processing Systems;NULL;NULL;NULL;NULL
323; S. E. Fahlman AND C. Lebiere, ; The cascade-correlation learning architec ture, ;NULL;"2"""; pp 524-532 ; 1990. ; Morgan Kaufmann, ; San Mateo, CA, ;NULL;" in ""Advances in Neural Information Processing Systems ";(D.  S. Touretzky, Ed.), ;NULL;NULL;NULL
324; S. E. Fahlmann, C. Lebiere: ;" ""The Cascade-Correlation Learning Architecture"", ";NULL;2;NULL;1990; Morgan Kaufmann, ; San Mateo, ;NULL; Advances in Neural Information Processing Systems ;NULL;NULL;NULL;NULL
325; S. E. Fahlman and C. Lebiere. ; The cascade-correlation architecture. ;NULL;2;NULL; 1990. ; Morgan Kaufmann, ;NULL;NULL; Advances in Neural Information Processing Systems; In D. S. Touretzky, editor, ;NULL;NULL;NULL
326; S. Fahlman and C. Lebiere, ;" ""The cascade-correlation learning architecture,"" ";NULL; vol  2; pp 524-532 ; 1990. ; Morgan Kaufmann, ;NULL; (San Mateo),; in Advances in Neural Information Processing Systems; (D. Touretzky, ed.), ;NULL;NULL;NULL
327; S. Fahlman and C. Lebiere, ;" ""The cascade-correlation learning architecture,"" ";NULL; vol2 ; pp 524-532 ; 1990. ; Morgan Kaufmann, ;NULL;(San Mateo), ; in Advances in Neural Information Processing Systems ; (D. Touretzky, ed.), ;NULL;NULL;NULL
328; S. Fahlman and C. Lebiere, ;" ""The cascade-correlation learning architecture,"" ";NULL; vol 2 ; pp 524-532 ; 1990. ; Morgan Kaufmann, ;NULL;(San Mateo), ; in Advances in Neural Information Processing Systems ; (D. Touretzky, ed.), ;NULL;NULL;NULL
329; S. Fahlman and C. Lebiere. ; The cascade correlation learning algorithm. ;NULL;volume2 ; pages 524-532 ; 1990. ; Morgan-Kauffman, ;NULL;NULL; Neural Information Systems ; In D. Touretzky, editor, ;NULL;NULL;NULL
330; Fahlman, S.E., Lebiere, C. ;" ""The cascade-correlation architecture,"" ";NULL;2; 524-532 ;1990; Morgan Kaufman. ;NULL;NULL;in Advances in neural information processing systems ; D.S. Touretzky (ed.), ;NULL;NULL;NULL
331; S. E. Fahlman and C. Lebiere, ; The cascade-correlation learning algorithm, ;NULL;2; pp 524-532 ; 1990.; Morgan Kauffman, ; Los Altos, Ca.: ;NULL; Advances in Neural Information Processing Systems ; in D. S. Touretzky, ed., ;NULL;NULL;NULL
332; S.E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;2; 524-532 ; 1990. ;NULL;NULL;NULL; Advances in Neural Information Processing Systems; ed. D.S. Touretsky. ;NULL;NULL;NULL
333; S. E. Fahlman and C. Lebiere. ; The Cascade-Correlation learning architecture. ;NULL;2; pages 524-532 ; 1990. ; Morgan Kaufmann Publishers, Inc., ;NULL;NULL; Advances in Neural Information Processing Systems ; In D. S. Touretzky, editor, ;NULL;NULL;NULL
334; S. E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;NULL; pages 524-532 ;1990. ; Morgan Kaufmann. ; San Mateo, CA, ;NULL; Advances in Neural Information Processing Systems ; In D. S. Touretsky, editor, ;NULL;NULL;NULL
335; S. E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL; volume 2 ;NULL; 1990. ; Morgan Kauffman Inc., ;NULL;NULL; Neural Information Processing Systems; In D. Touretzky, editor, ;NULL;NULL;NULL
336; Fahlmann, Scott, C. Lebiere. ; The Cascade-Correlation Learning Architypeture. ;NULL;2; pp 524-532 ;NULL; Morgan Kaufmann Publishers: ; Los Altos, CA. ;NULL; in Advances in Neural Information Processing;NULL;NULL;NULL;NULL
337; S. Fahlman and C. Libiere, ;" ""The Cascade Correlation Architecture"", ";NULL;2;P524-532 ;NULL;(Morgan Kaufman, ; San Mateo, CA)  ;NULL; Advances in Neural Information Processing Systems; in D. Touretzky (ed.), ;NULL;NULL;NULL
338; S.E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture.;NULL; volume 2 ; pages 524-532 ; 1990. ; Morgan Kaufmann. ; San Mateo,;NULL; Advances in Neural Information Processing Systems ; In D. Touretzky, editor, ;NULL;NULL;NULL
339; S.E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL; volume 2 ; pages 524-532 ; 1990. ; Morgan Kaufmann. ; San Mateo,;NULL; Advances in Neural Information Processing Systems ;  In D.S. Touretzky, editor, ;NULL;NULL;NULL
340; S. E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL; volume 2 ; pages 524-532 ; 1990. ; Morgan Kaufmann. ; San Mateo, CA,;NULL; Advances in Neural Information Processing Systems ; In D. S. Touretzky, editor, ;NULL;NULL;NULL
341; S. E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL; volume 2 ; pages 524-532 ;1990. ; Morgan Kaufmann. ; San Mateo, CA, ;NULL; Advances in Neural Information Processing Systems ; In D. S. Touretzky, editor, ;NULL;NULL;NULL
462; Poggio, T., Fahle, M., and Edelman, S. ; Fast perceptual learning in visual hyperacuity. ; Science, ;256; 1018-1021 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
463; Poggio, T., Fahle, M., and Edelman, S. ; Fast perceptual learning in visual hyperacuity. ; Science, ;256; 1018-1021 ; 1992b ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
464; Poggio, T., Fahle, M., & Edelman, S. ;Fast perceptual learning in visual hyperacuity. ; Science, ;256; 1018-1021 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
465; T. Poggio, M. Fahle, and S. Edelman. ; Fast Per ceptual Learning in Visual Hyperacuity. ; Science, ;256; 1018-1021 ; May ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
466; Poggio T, Fahle M, and Edelman S. ; Fast perceptual learning in visual hyperacuity. ; Science, ;256; 1018-1021 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
467; Poggio, T., Edelman, S., and Fahle, M. ; Learning of visual modules from examples: a framework for understanding adaptive visual performance. ;NULL;56; 22-30 ; 1992a ;NULL;NULL;NULL; Computer Vision Graphics and Image Processing: Image Understanding ;NULL;NULL;NULL;NULL
468; T. Poggio, S. Edelman, and M. Fahle. ; Learning of visual modules from examples: A framework for understanding adaptive visual performance. CVGIP: Image Understanding, Special Issue on Purposive, Qualitative, Active Vision, ;NULL;56; 22-30 ; 1992. ;NULL;NULL;NULL;NULL; Y. Aloimonos (Ed.), ;NULL;NULL;NULL
469; S. T. Pope and L. E. ; Fahl en, Building sound into a virtual environment, ;NULL;NULL;NULL; Dec. ;NULL; (Stockholm, Sweden), ;NULL; in Proceedings of the 5th MultiG Workshop ;NULL;NULL;NULL;NULL
470; S. C. Shapiro. ; Review of Fahlman, Scott NETL: A system for representing and using real-world knowledge. ; American Journal of Computational Linguistics, ; 6(3) ; 183-186 ; 1980. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
471; Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, and Daniel L. Weinreb. ; Common Lisp: The Language. ;NULL;NULL;NULL; 1984. ; Digital Press, ; Burlington, Massachusetts, ;NULL;NULL;NULL;NULL;NULL;NULL
472; Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, and Daniel L. Weinreb. ; Common Lisp: The Language. ;NULL;NULL;NULL; 1984. ; Digital Press, ; Burlington, Massachusetts, ;NULL;NULL;NULL;NULL;NULL;NULL
473; Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, and Daniel L. Weinreb. ; Common Lisp: The Language. ;NULL;NULL;NULL; 1984. ; Digital Press, ; Burlington, Massachusetts, ;NULL;NULL;NULL;NULL;NULL;NULL
474; Steele, Guy L., Jr., Fahlman, Scott E., Gabriel, Richard P., Moon, David A., Weinreb, Daniel L., Bobrow, Daniel G., DeMichiel, Linda G., Keene, Sonya E., Kiczales, Gregor, Perdue, Crispin, Pitman, Kent M., Waters, Richard C., and White, Jon L. ; Common Lisp: The Language (Second Edition). ;NULL;NULL;NULL;1990; Digital Press (Bedford, ; Massachusetts, ;NULL;NULL;NULL;NULL;NULL;NULL
475; Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White. ;NULL;NULL;NULL;NULL; 1990. ; Digital Press, ; Bedford, Massachusetts, ; ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72 ;NULL;NULL;NULL;NULL;NULL
476; Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White. ;NULL;NULL;NULL;NULL;NULL; Digital Press, ; Bedford, Massachusetts, ; ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72 ;NULL;NULL;NULL;NULL;NULL
477; Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White. ;NULL;NULL;NULL;NULL; 1990. ; Digital Press, ; Bedford, Massachusetts, ; ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72 ;NULL;NULL;NULL;NULL;NULL
478; Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E. Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G. DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters, and Jon L White. ;NULL;NULL;NULL;NULL; 1990. ; Digital Press, ; Bedford, Massachusetts, ; ISBN 1-55558-041-6. Steele and Gabriel, Evolution of Lisp 72 ;NULL;NULL;NULL;NULL;NULL
479; S udholt, M. and Steigner, C. ; On interprocedural data flow analysis for object oriented languages. ;NULL;NULL; pp 156-162 ; 1992. ; Springer-Verlag,; Berlin, Germany, ; volume 641 of Lecture Notes in Computer Science, (Paderborn,  Germany, Oct.). ; Proceedings of the Fourth International Conference on Compiler Construction; In Kastens,  U. and Pfahler, P., Eds., ;NULL;NULL;NULL
480; S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S Dzroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michal-ski, T. Mitchell, P. Pachowicz, Y. Reich H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang. ; The monk's problems a performance comparison of different learning algorihms. ;NULL;NULL;NULL; December ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-91-197, ; Carnegie Mellon University, ;NULL
481; S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S. Dzeroski andS.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Reich, H. Vafaie, W. Van de Weldel, W. Wenzel, J. Wnek, and J. Zhang. ; The monk's problems: A performance comparison of different learning algorithms. ;NULL;NULL;NULL; 1991. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-91-197, ; Carnegie Mellon University, ;NULL
482; Thrun, S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De Jong, K., Dzerowski, S., Fahlman, S.E., Hamann, R., Kaufman, K., Keller, S., Kononenko, I., Kreuziger, J., Michalski, R.S., Mitchell, T., Pachowicz, P., Vafaie, H., Van de Velde, W., Wenzel, W., Wnek, J., and Zhang, J., ; The MONKS Problems: A Performance Comparison of Different Learning Algorithms, ;NULL;NULL;NULL; 1991. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; (revised version), ; Carnegie Mellon University, ;NULL
